Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
rocawear-era-hoodie,Rocawear Era Hoodie,<p>Premium heavyweight hoodie inspired by the iconic Rocawear aesthetic. Pre-washed and pre-shrunk for the perfect fit straight out the box.</p><ul><li>500gsm heavyweight cotton fleece</li><li>Pre-washed &amp; pre-shrunk</li><li>Kangaroo front pocket</li><li>Adjustable drawstring hood</li><li>Machine washable at 30°C</li></ul>,The 00s Version,Apparel & Accessories > Clothing > Tops,Hoodies,"new, bestseller, limited",TRUE,Size,S,Color,Black,ROC-HOOD-S-BLK,600,shopify,10,deny,manual,89.00,,TRUE,TRUE,,1,,FALSE,Rocawear Era Hoodie — The 00s Version,Premium heavyweight hoodie inspired by early 2000s Rocawear aesthetic.,,Male,Adult,ROC-HOOD,new,,,g,,,active
rocawear-era-hoodie,Rocawear Era Hoodie,,The 00s Version,,Hoodies,"new, bestseller, limited",TRUE,Size,M,Color,Black,ROC-HOOD-M-BLK,600,shopify,15,deny,manual,89.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
rocawear-era-hoodie,Rocawear Era Hoodie,,The 00s Version,,Hoodies,"new, bestseller, limited",TRUE,Size,L,Color,Black,ROC-HOOD-L-BLK,600,shopify,12,deny,manual,89.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
rocawear-era-hoodie,Rocawear Era Hoodie,,The 00s Version,,Hoodies,"new, bestseller, limited",TRUE,Size,XL,Color,Black,ROC-HOOD-XL-BLK,600,shopify,8,deny,manual,89.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
rocawear-era-hoodie,Rocawear Era Hoodie,,The 00s Version,,Hoodies,"new, bestseller, limited",TRUE,Size,S,Color,Cream,ROC-HOOD-S-CRM,600,shopify,8,deny,manual,89.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
rocawear-era-hoodie,Rocawear Era Hoodie,,The 00s Version,,Hoodies,"new, bestseller, limited",TRUE,Size,M,Color,Cream,ROC-HOOD-M-CRM,600,shopify,12,deny,manual,89.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
rocawear-era-hoodie,Rocawear Era Hoodie,,The 00s Version,,Hoodies,"new, bestseller, limited",TRUE,Size,L,Color,Cream,ROC-HOOD-L-CRM,600,shopify,10,deny,manual,89.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
rocawear-era-hoodie,Rocawear Era Hoodie,,The 00s Version,,Hoodies,"new, bestseller, limited",TRUE,Size,XL,Color,Cream,ROC-HOOD-XL-CRM,600,shopify,6,deny,manual,89.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
sean-john-tracksuit-top,Sean John Tracksuit Top,"<p>Velour tracksuit top channelling peak early 2000s luxury streetwear. Soft to the touch, bold in silhouette.</p><ul><li>Premium velour fabric</li><li>Full-zip front with branded zipper</li><li>Ribbed cuffs and hem</li><li>Side pockets</li></ul>",The 00s Version,Apparel & Accessories > Clothing > Tops,Outerwear,"new, limited",TRUE,Size,S,Color,Navy,SJ-TRACK-S-NVY,400,shopify,8,deny,manual,79.00,,TRUE,TRUE,,1,,FALSE,Sean John Tracksuit Top — The 00s Version,Velour tracksuit top inspired by early 2000s Sean John luxury streetwear.,,Male,Adult,SJ-TRACK,new,,,g,,,active
sean-john-tracksuit-top,Sean John Tracksuit Top,,The 00s Version,,Outerwear,"new, limited",TRUE,Size,M,Color,Navy,SJ-TRACK-M-NVY,400,shopify,10,deny,manual,79.00,,TRUE,TRUE,,,,FALSE,,,,,,,,,,g,,,active
